very conservative,conservative,moderate,liberal,veryliberal,great deal,fair amount,not very much,none at all,The new york times,The wall street journal,USA Today,The washington post,Fox News,Breitbart,CNN,Buzzfeed news,Huffington post,Time,U.S.News & World Report,yes,no,Decrease trust,Increase trust,no change,strongly approve,somewhat approve,somewhat disapprove,strongly disapprove,18-29,30-44,45-59,60+,female,male,$0 to $9.999,$10.000 to $24.999,$25.000 to $49.999,$50.000 to $74.999,$75.000 to $99.999,$100.000 to $124.999,125.000 to $149.999,$150.000 to $174.999,$175.000 to $199.999,$200.000 and up,Prefer not to answer,New England,Middle Atlantic,East North Central,West North Central,South Atlantic,East South Central,West South Central,Mountain,Pacific,iOS Phone / Tablet,Android Phone / Tablet,Other Phone / Tablet,Windows Desktop / Laptop,MacOS Desktop / Laptop,Other Phone / Tablet
moderate,fair amount,The new york times,yes,Increase trust,strongly disapprove,30-44,male,125.000 to $149.999,Pacific,Windows Desktop / Laptop
liberal,not very much,no,no,Increase trust,strongly disapprove,30-44,female,$100.000 to $124.999,West South Central,Windows Desktop / Laptop
liberal,none at all,no,no,Increase trust,strongly disapprove,30-44,female,$10.000 to $24.999,Pacific,MacOS Desktop / Laptop
liberal,fair amount,The new york times,no,Increase trust,somewhat disapprove,18-29,female,$0 to $9.999,West South Central,Android Phone / Tablet
moderate,none at all,no,no,Increase trust,somewhat approve,30-44,female,Prefer not to answer,East South Central,iOS Phone / Tablet
liberal,fair amount,The new york times,no,Increase trust,strongly disapprove,18-29,female,$25.000 to $49.999,Middle Atlantic,Windows Desktop / Laptop
moderate,fair amount,The new york times,no,no change,strongly disapprove,18-29,female,$50.000 to $74.999,Mountain,iOS Phone / Tablet
veryliberal,fair amount,The washington post,no,Increase trust,strongly disapprove,30-44,female,$50.000 to $74.999,East North Central,Windows Desktop / Laptop
liberal,fair amount,The new york times,no,Increase trust,somewhat disapprove,30-44,male,$50.000 to $74.999,South Atlantic,Windows Desktop / Laptop
moderate,not very much,Huffington post,no,Increase trust,strongly disapprove,18-29,female,$0 to $9.999,Middle Atlantic,iOS Phone / Tablet
conservative,none at all,no,no,Increase trust,strongly approve,30-44,female,$100.000 to $124.999,Pacific,Android Phone / Tablet
liberal,fair amount,The new york times,no,Increase trust,strongly disapprove,18-29,female,$50.000 to $74.999,West North Central,Windows Desktop / Laptop
